chrom	start	end	strand	gene_id	Newton_RNA_run1/newton_direct_RNA_newton_scaffolds_minimap_sorted_G_25000_no_secondary_pa_tag.bam
Gpscaff_1	440433	445245	-	GPALN_000071	130.4099998
Gpscaff_1	445834	447585	+	GPALN_000072	106.0400009
Gpscaff_1	452792	455528	-	GPALN_000074	99.87999725
Gpscaff_1	459117	461888	-	GPALN_000076	89.95999908
Gpscaff_1	484515	485787	+	GPALN_000080	89.56499863
Gpscaff_1	485957	500054	-	GPALN_000081	126.2900009
Gpscaff_1	504377	517798	+	GPALN_000082	117.2699966
Gpscaff_1	521341	533819	+	GPALN_000084	111.7000008
Gpscaff_1	534391	535722	+	GPALN_000085	61.15999985
Gpscaff_1	536370	537090	-	GPALN_000086	72.61000061
Gpscaff_1	537794	538525	-	GPALN_000087	133.1600037
Gpscaff_1	539671	540350	+	GPALN_000088	104.3250008
Gpscaff_1	543627	550656	+	GPALN_000089	135.5
Gpscaff_1	552733	560310	-	GPALN_000090	119.4499969
Gpscaff_1	562067	565497	-	GPALN_000091	109.1949997
Gpscaff_1	566269	568113	-	GPALN_000092	172.7800064
Gpscaff_1	585468	587800	-	GPALN_000097	69.95000076
Gpscaff_1	594549	597088	-	GPALN_000100	75.70999908
Gpscaff_1	602923	605808	+	GPALN_000103	120.6100006
Gpscaff_1	611179	613441	+	GPALN_000105	108.7549973
Gpscaff_1	613448	615809	+	GPALN_000106	119.5599976
Gpscaff_1	616064	617001	-	GPALN_000107	87.88999939
Gpscaff_1	617511	622130	+	GPALN_000108	129.9049988
Gpscaff_1	622764	626898	+	GPALN_000109	135.8000031
Gpscaff_1	627265	629842	+	GPALN_000110	90.20999908
Gpscaff_1	629883	633012	+	GPALN_000111	122.8899994
Gpscaff_1	635513	637496	+	GPALN_000113	102.1399994
Gpscaff_1	644737	649024	-	GPALN_000114	130.2299957
Gpscaff_1	649529	652278	-	GPALN_000115	123.454998
Gpscaff_1	657920	659576	+	GPALN_000117	60.04000092
Gpscaff_1	659851	661752	+	GPALN_000118	105.9100037
Gpscaff_1	683671	685777	-	GPALN_000125	102.3399963
Gpscaff_1	686322	688033	+	GPALN_000126	103.3300018
Gpscaff_1	688593	690016	+	GPALN_000127	104.3899994
Gpscaff_1	690405	691253	-	GPALN_000128	75.92000198
Gpscaff_1	691872	692612	-	GPALN_000129	122.7099991
Gpscaff_1	693525	694101	+	GPALN_000130	87.27999878
Gpscaff_1	709495	711912	+	GPALN_000133	127.2399979
Gpscaff_1	742382	747916	-	GPALN_000141	140.0250015
Gpscaff_1	752026	756981	+	GPALN_000142	102.6150017
Gpscaff_1	777364	783929	-	GPALN_000149	150.3699951
Gpscaff_1	785113	787887	-	GPALN_000150	116.5500031
Gpscaff_1	799993	807988	-	GPALN_000153	121.5699997
Gpscaff_1	809146	811592	-	GPALN_000154	119.0949974
Gpscaff_1	812158	812655	-	GPALN_000155	86.16500092
Gpscaff_1	813847	816649	+	GPALN_000156	115.9300003
Gpscaff_1	817038	818081	-	GPALN_000157	91.41999817
Gpscaff_1	818464	820170	+	GPALN_000158	97.81499863
Gpscaff_1	820267	821378	+	GPALN_000159	93.77000046
Gpscaff_1	874200	876525	+	GPALN_000169	100.2550011
Gpscaff_1	893102	897096	+	GPALN_000173	88.29000092
Gpscaff_1	900996	904430	+	GPALN_000176	88.13999939
Gpscaff_1	904850	906369	-	GPALN_000177	91.26999664
Gpscaff_1	908526	913378	-	GPALN_000178	91.14999771
Gpscaff_1	913691	917419	+	GPALN_000179	147.9250031
Gpscaff_1	950902	953386	+	GPALN_000187	119.6049995
Gpscaff_1	956581	959855	-	GPALN_000189	98.85499954
Gpscaff_1	967217	970188	+	GPALN_000191	83
Gpscaff_1	1017400	1020014	-	GPALN_000200	96.55500031
Gpscaff_1	1023034	1030903	-	GPALN_000201	115.7700005
Gpscaff_1	1051522	1054364	-	GPALN_000206	138.8800049
Gpscaff_1	1074459	1081912	-	GPALN_000208	101.0999985
Gpscaff_1	1130483	1131758	-	GPALN_000212	113.8300018
Gpscaff_1	1132533	1133325	+	GPALN_000213	90.66999817
Gpscaff_1	1134541	1140999	-	GPALN_000214	87.72000122
Gpscaff_1	1142141	1145767	+	GPALN_000215	143.5199966
Gpscaff_1	1146160	1148291	+	GPALN_000216	105.1699982
Gpscaff_1	1159514	1160901	+	GPALN_000221	109.1350021
Gpscaff_1	1161212	1166221	+	GPALN_000222	114.4800034
Gpscaff_1	1167475	1173444	+	GPALN_000224	86.17000198
Gpscaff_1	1175069	1183410	+	GPALN_000225	135.4799957
Gpscaff_1	1189363	1191098	-	GPALN_000227	84.99000168
Gpscaff_1	1191402	1192488	+	GPALN_000228	83.98500061
Gpscaff_1	1192371	1194482	-	GPALN_000229	49.11999893
Gpscaff_1	1194817	1197111	-	GPALN_000230	103.3899994
Gpscaff_1	1197118	1198757	-	GPALN_000231	152.9600067
Gpscaff_1	1199416	1201094	+	GPALN_000232	101.704998
Gpscaff_1	1206366	1207727	-	GPALN_000235	100.4000015
Gpscaff_1	1209004	1214958	+	GPALN_000236	111.9300003
Gpscaff_1	1215130	1219337	+	GPALN_000237	153.1699982
Gpscaff_1	1219650	1224045	+	GPALN_000238	137.6850052
Gpscaff_1	1224716	1227510	-	GPALN_000239	81.65000153
Gpscaff_1	1228012	1232248	+	GPALN_000240	124.7099991
Gpscaff_1	1235212	1240707	+	GPALN_000242	105.2449989
Gpscaff_1	1241738	1245492	-	GPALN_000243	90.36000061
Gpscaff_1	1246664	1250549	-	GPALN_000244	98.87000275
Gpscaff_1	1251182	1252917	-	GPALN_000245	113.4599991
Gpscaff_1	1255325	1257157	+	GPALN_000247	132.3300018
Gpscaff_1	1260032	1261163	-	GPALN_000249	65.69999695
Gpscaff_1	1265992	1268689	-	GPALN_000251	124.2099991
Gpscaff_1	1273825	1281270	+	GPALN_000253	106.0999985
Gpscaff_1	1284109	1286886	+	GPALN_000254	111.6699982
Gpscaff_1	1287448	1290455	+	GPALN_000255	101.1949997
Gpscaff_1	1290783	1292900	-	GPALN_000256	97.34499741
Gpscaff_1	1293415	1294816	-	GPALN_000257	122.8000031
Gpscaff_1	1296463	1299109	-	GPALN_000259	94.64500046
Gpscaff_1	1299834	1302400	-	GPALN_000260	135.3050003
Gpscaff_1	1303163	1305811	-	GPALN_000261	108.0400009
Gpscaff_1	1306349	1307871	-	GPALN_000262	81.37000275
Gpscaff_1	1311918	1314149	-	GPALN_000265	105.9399986
Gpscaff_1	1316249	1316823	-	GPALN_000266	106.8700027
Gpscaff_1	1318085	1319475	+	GPALN_000267	124.2900009
Gpscaff_1	1319885	1320381	-	GPALN_000268	58.35000038
Gpscaff_1	1320486	1321511	-	GPALN_000269	59.40000153
Gpscaff_1	1322088	1325025	-	GPALN_000270	130.5449982
Gpscaff_1	1329718	1332976	-	GPALN_000272	158.6799927
Gpscaff_1	1333465	1334531	-	GPALN_000273	119.7000008
Gpscaff_1	1339315	1340051	-	GPALN_000275	71.87999725
Gpscaff_1	1340334	1341620	-	GPALN_000276	91.56499863
Gpscaff_1	1342386	1343773	-	GPALN_000278	72.22000122
Gpscaff_1	1343811	1344688	+	GPALN_000279	57.09000015
Gpscaff_1	1345301	1353027	-	GPALN_000280	101.295002
Gpscaff_1	1359919	1361586	+	GPALN_000281	95.91500092
Gpscaff_1	1362908	1372258	+	GPALN_000283	93.84999847
Gpscaff_1	1373219	1382573	+	GPALN_000284	142.3199997
Gpscaff_1	1391911	1397620	+	GPALN_000288	143.2200012
Gpscaff_1	1399935	1409975	-	GPALN_000291	198.2599945
Gpscaff_1	1410534	1412511	+	GPALN_000292	105.3499985
Gpscaff_1	1413103	1414296	+	GPALN_000293	93
Gpscaff_1	1414382	1419155	+	GPALN_000294	121.0999985
Gpscaff_1	1419502	1420325	+	GPALN_000295	81.27999878
Gpscaff_1	1421762	1422513	+	GPALN_000296	111.3800011
Gpscaff_1	1422631	1423716	-	GPALN_000297	62.59500122
Gpscaff_1	1429679	1432084	-	GPALN_000299	98.875
Gpscaff_1	1434118	1436602	+	GPALN_000300	128.5350037
Gpscaff_1	1436685	1439125	-	GPALN_000301	110.2200012
Gpscaff_1	1439595	1446065	+	GPALN_000302	132.4799957
Gpscaff_1	1446215	1446978	-	GPALN_000303	87.62999725
Gpscaff_1	1447341	1449190	-	GPALN_000304	93.95999908
Gpscaff_1	1449371	1450541	-	GPALN_000305	67.93500137
Gpscaff_1	1460862	1462604	-	GPALN_000307	143.0399933
Gpscaff_1	1466503	1467344	+	GPALN_000310	89.62000275
Gpscaff_1	1480413	1483222	-	GPALN_000315	85.19000244
Gpscaff_1	1483626	1486023	+	GPALN_000316	104.5400009
Gpscaff_1	1486122	1488336	+	GPALN_000317	135.8600006
Gpscaff_1	1488527	1493225	-	GPALN_000318	120.2749977
Gpscaff_1	1496796	1498659	+	GPALN_000319	97.06999969
Gpscaff_1	1500304	1505692	+	GPALN_000321	142
Gpscaff_1	1505975	1514094	+	GPALN_000322	80.44000244
Gpscaff_1	1514431	1515070	-	GPALN_000323	74.78499985
Gpscaff_1	1516149	1517379	+	GPALN_000324	92.5
Gpscaff_1	1517249	1521459	-	GPALN_000325	71.35000229
Gpscaff_1	1531260	1531957	-	GPALN_000327	62.53499985
Gpscaff_1	1543111	1546263	+	GPALN_000330	124.2600021
Gpscaff_1	1546479	1557009	-	GPALN_000331	105.8600006
Gpscaff_1	1564826	1567813	-	GPALN_000334	75.01000214
Gpscaff_1	1569350	1572341	+	GPALN_000335	91.68000031
Gpscaff_1	1572712	1578607	-	GPALN_000336	98.83999634
Gpscaff_1	1593168	1595289	-	GPALN_000341	117.5199966
Gpscaff_1	1597155	1600211	+	GPALN_000342	64.61000061
Gpscaff_1	1600682	1601577	-	GPALN_000343	93.05000305
Gpscaff_1	1602458	1611430	+	GPALN_000344	93.13999939
Gpscaff_1	1614303	1616150	+	GPALN_000347	65.37000275
Gpscaff_1	1616386	1618271	+	GPALN_000348	123.5599976
Gpscaff_1	1618568	1620278	-	GPALN_000349	113.375
Gpscaff_1	1621718	1624835	-	GPALN_000350	81.50500107
Gpscaff_1	1628064	1633130	-	GPALN_000352	103.5899963
Gpscaff_1	1636969	1640993	+	GPALN_000354	78.66999817
Gpscaff_1	1641276	1643389	-	GPALN_000355	83.99499893
Gpscaff_1	1643700	1647239	+	GPALN_000356	134.3000031
Gpscaff_1	1647612	1650872	-	GPALN_000357	132.9700012
Gpscaff_1	1651025	1653897	-	GPALN_000358	118.0850029
Gpscaff_1	1665900	1667228	-	GPALN_000362	153.6399994
Gpscaff_1	1674158	1674706	-	GPALN_000364	81.13999939
Gpscaff_1	1674946	1676446	-	GPALN_000365	98.34999847
Gpscaff_1	1676824	1678439	-	GPALN_000366	103.7599983
Gpscaff_1	1678976	1679925	-	GPALN_000367	96.71500015
Gpscaff_1	1680212	1680745	+	GPALN_000368	123.2900009
Gpscaff_1	1680950	1683821	-	GPALN_000369	135.140007
Gpscaff_1	1690104	1691062	-	GPALN_000371	83.79500198
Gpscaff_1	1691391	1696670	+	GPALN_000372	104.2699966
Gpscaff_1	1697018	1699389	+	GPALN_000373	171.5200043
Gpscaff_1	1699644	1702296	-	GPALN_000374	128.7650032
Gpscaff_1	1711677	1715701	-	GPALN_000376	84.86000061
Gpscaff_1	1735406	1739975	-	GPALN_000380	128.5999985
Gpscaff_1	1741792	1744311	-	GPALN_000381	102.25
Gpscaff_1	1744334	1747494	+	GPALN_000382	82.55500031
Gpscaff_1	1747997	1748357	-	GPALN_000383	68.69499969
Gpscaff_1	1749661	1752846	+	GPALN_000384	131.25
Gpscaff_1	1761403	1763147	-	GPALN_000388	82.91999817
Gpscaff_1	1767094	1769214	-	GPALN_000390	140.4100037
Gpscaff_1	1769407	1775013	-	GPALN_000391	67.79000092
Gpscaff_1	1778919	1780544	+	GPALN_000392	66.95999908
Gpscaff_1	1780919	1784502	-	GPALN_000393	85.69000244
Gpscaff_1	1788275	1791267	-	GPALN_000395	94.63999939
Gpscaff_1	1795482	1796393	+	GPALN_000398	83.02500153
Gpscaff_1	1825640	1831547	-	GPALN_000403	114.7799988
Gpscaff_1	1837759	1843667	-	GPALN_000405	133.2899933
Gpscaff_1	1844291	1846900	+	GPALN_000406	131.4799957
Gpscaff_1	1846954	1850466	+	GPALN_000407	122.6300011
Gpscaff_1	1851153	1853070	-	GPALN_000408	111.5
Gpscaff_1	1859455	1859814	-	GPALN_000410	76.76999664
Gpscaff_1	1868467	1871401	+	GPALN_000413	99.30999756
Gpscaff_1	1871810	1873080	-	GPALN_000414	76.38999939
Gpscaff_1	1873472	1875060	-	GPALN_000415	88.95999908
Gpscaff_1	1876269	1879637	-	GPALN_000416	126.7599983
Gpscaff_1	1880306	1882912	-	GPALN_000417	133.1900024
Gpscaff_1	1882975	1890710	+	GPALN_000418	135.6499939
Gpscaff_1	1893204	1896020	-	GPALN_000420	90.51499939
Gpscaff_1	1896322	1898065	-	GPALN_000421	132.3600006
Gpscaff_1	1899033	1904915	-	GPALN_000422	117.7900009
Gpscaff_1	1912267	1914242	+	GPALN_000424	46
Gpscaff_1	1915217	1918646	+	GPALN_000425	134.7699966
Gpscaff_1	1928562	1930768	+	GPALN_000428	96.61000061
Gpscaff_1	1931210	1932081	+	GPALN_000429	85.90000153
Gpscaff_1	1938740	1940491	+	GPALN_000431	128.6499939
Gpscaff_1	1947261	1948917	-	GPALN_000433	70.40000153
Gpscaff_1	1950370	1951316	-	GPALN_000434	63.875
Gpscaff_1	1951819	1952880	-	GPALN_000435	88.83000183
Gpscaff_1	1952960	1957058	-	GPALN_000436	128.909996
Gpscaff_1	1957127	1958222	-	GPALN_000437	59.76499939
Gpscaff_1	1975356	1979105	-	GPALN_000442	105.4199982
Gpscaff_1	1980005	1980755	+	GPALN_000443	84.60000229
Gpscaff_1	1981191	1989962	+	GPALN_000444	172.9249954
Gpscaff_1	1992839	1995364	+	GPALN_000446	106.4499969
Gpscaff_1	1995588	2012816	-	GPALN_000447	158.2200012
Gpscaff_1	2012365	2016835	-	GPALN_000448	124.5600014
Gpscaff_1	2017474	2019897	+	GPALN_000450	85.52999878
Gpscaff_1	2019809	2021526	+	GPALN_000451	111.7600021
Gpscaff_1	2021714	2023387	+	GPALN_000452	91.23000336
Gpscaff_1	2030370	2031683	-	GPALN_000455	66.81999969
Gpscaff_1	2032006	2034466	-	GPALN_000456	77.95999908
Gpscaff_1	2034662	2036722	-	GPALN_000457	97.16000366
Gpscaff_1	2037151	2041255	-	GPALN_000458	119.9599991
Gpscaff_1	2041748	2042724	+	GPALN_000459	80.01000214
Gpscaff_1	2045745	2047210	-	GPALN_000460	125.9199982
Gpscaff_1	2047687	2049498	+	GPALN_000461	93.43000031
Gpscaff_1	2055145	2056027	-	GPALN_000463	131.1600037
Gpscaff_1	2056164	2060119	-	GPALN_000464	108.0299988
Gpscaff_1	2060266	2060906	-	GPALN_000465	84.19000244
Gpscaff_1	2085530	2089316	-	GPALN_000470	126.5599976
Gpscaff_1	2089723	2092134	+	GPALN_000471	148.2099991
Gpscaff_1	2092813	2093660	+	GPALN_000472	102.6999969
Gpscaff_1	2093964	2095182	-	GPALN_000473	109.9799995
Gpscaff_1	2095187	2098109	+	GPALN_000474	107.0849991
Gpscaff_1	2098089	2100139	+	GPALN_000475	93.72000122
Gpscaff_1	2100372	2102242	+	GPALN_000476	97.45999908
Gpscaff_1	2103105	2104300	-	GPALN_000477	153.0400009
Gpscaff_1	2104644	2104998	+	GPALN_000478	107.0899963
Gpscaff_1	2106010	2107478	+	GPALN_000479	59.61999893
Gpscaff_1	2115542	2119312	-	GPALN_000481	73.20999908
Gpscaff_1	2121386	2126696	+	GPALN_000483	80.34000015
Gpscaff_1	2129179	2133144	+	GPALN_000484	98.63999939
Gpscaff_1	2141707	2144787	+	GPALN_000488	117.75
Gpscaff_1	2159332	2161754	-	GPALN_000491	137.2599945
Gpscaff_1	2161740	2165132	-	GPALN_000492	96.20999908
Gpscaff_1	2165408	2171244	+	GPALN_000493	118.170002
Gpscaff_1	2171392	2173916	+	GPALN_000494	99.32500076
Gpscaff_1	2174052	2176993	-	GPALN_000495	143.965004
Gpscaff_1	2193578	2195172	-	GPALN_000498	141.75
Gpscaff_1	2196323	2202406	+	GPALN_000499	110.8000031
Gpscaff_1	2202564	2203799	-	GPALN_000500	83.95999908
Gpscaff_1	2204083	2205223	+	GPALN_000501	83.93000031
Gpscaff_1	2205427	2207608	+	GPALN_000502	118.3300018
Gpscaff_1	2208202	2214086	-	GPALN_000503	108.6100006
Gpscaff_1	2215000	2219637	+	GPALN_000504	86.63999939
Gpscaff_1	2220191	2225256	+	GPALN_000505	122.1200027
Gpscaff_1	2244399	2247807	+	GPALN_000510	54.73999977
Gpscaff_1	2248057	2250753	-	GPALN_000511	122.1999969
Gpscaff_1	2250809	2252045	-	GPALN_000512	103.8400002
Gpscaff_1	2254533	2258120	-	GPALN_000514	86.72000122
Gpscaff_1	2269419	2274717	-	GPALN_000519	164.7400055
Gpscaff_1	2276391	2276908	-	GPALN_000520	94.64500046
Gpscaff_1	2285277	2290889	+	GPALN_000522	125.25
Gpscaff_1	2291480	2294552	-	GPALN_000523	108.8849983
Gpscaff_1	2299996	2301269	+	GPALN_000526	98.80000305
Gpscaff_1	2314869	2316362	+	GPALN_000530	87.83999634
Gpscaff_1	2316769	2318846	-	GPALN_000531	114.7599983
Gpscaff_1	2319167	2320608	+	GPALN_000532	72.02499771
Gpscaff_1	2322162	2324740	-	GPALN_000534	93.95999908
Gpscaff_1	2324888	2326091	+	GPALN_000535	93.3900032
Gpscaff_1	2329242	2330160	+	GPALN_000537	73.22499847
Gpscaff_1	2330268	2331306	-	GPALN_000538	73.90000153
Gpscaff_1	2331553	2333462	-	GPALN_000539	80.26000214
Gpscaff_1	2340686	2342930	-	GPALN_000541	108.4850006
Gpscaff_1	2343197	2344406	+	GPALN_000542	108.1500015
Gpscaff_1	2360327	2361189	+	GPALN_000544	123.1699982
Gpscaff_1	2361293	2362557	-	GPALN_000545	105.6200027
Gpscaff_1	2363170	2364994	+	GPALN_000546	97.68000031
Gpscaff_1	2371925	2373616	-	GPALN_000548	96.38499832
Gpscaff_1	2377266	2379617	+	GPALN_000550	135.7299995
Gpscaff_1	2393047	2395799	-	GPALN_000553	143.5
Gpscaff_1	2397289	2406464	-	GPALN_000554	108.3100014
Gpscaff_1	2414584	2418050	-	GPALN_000556	76.17000198
Gpscaff_1	2418026	2419756	-	GPALN_000557	94.68000031
Gpscaff_1	2421394	2426003	-	GPALN_000559	149.3500061
Gpscaff_1	2445117	2450317	-	GPALN_000562	77.51999664
Gpscaff_1	2450459	2453217	+	GPALN_000563	111.9599991
Gpscaff_1	2453650	2456100	-	GPALN_000564	137.6149979
Gpscaff_1	2457059	2461234	-	GPALN_000565	119.1949997
Gpscaff_1	2461459	2462097	-	GPALN_000566	88.44000244
Gpscaff_1	2462369	2464493	+	GPALN_000567	121.9599991
Gpscaff_1	2466199	2472810	+	GPALN_000568	147.5399933
Gpscaff_1	2473551	2476220	+	GPALN_000570	114.7250023
Gpscaff_1	2477036	2478219	+	GPALN_000571	119.5400009
Gpscaff_1	2480912	2482121	+	GPALN_000573	87.39499664
Gpscaff_1	2483252	2484702	+	GPALN_000574	55.62000084
Gpscaff_1	2485093	2486971	-	GPALN_000575	75.26999664
Gpscaff_1	2488149	2490295	+	GPALN_000576	95
Gpscaff_1	2490428	2494488	-	GPALN_000577	142.6799927
Gpscaff_1	2494830	2495590	+	GPALN_000578	90
Gpscaff_1	2496133	2499242	-	GPALN_000579	147.2249985
Gpscaff_1	2501836	2502765	+	GPALN_000581	126.0400009
Gpscaff_1	2506890	2508592	+	GPALN_000584	134.8099976
Gpscaff_1	2516064	2525112	+	GPALN_000586	111.9599991
Gpscaff_1	2525442	2529596	-	GPALN_000587	64.15999985
Gpscaff_1	2532889	2535218	-	GPALN_000589	109.3700027
Gpscaff_1	2535903	2544077	+	GPALN_000590	121.5999985
Gpscaff_1	2544300	2551581	+	GPALN_000591	137.9700012
Gpscaff_1	2552013	2554267	+	GPALN_000592	115.5200005
Gpscaff_1	2554603	2556267	-	GPALN_000593	100.2300034
Gpscaff_1	2558444	2559440	+	GPALN_000594	105.8150024
Gpscaff_1	2559599	2562027	-	GPALN_000595	139.1650009
Gpscaff_1	2569566	2573843	+	GPALN_000598	101.4100037
Gpscaff_1	2574466	2577102	+	GPALN_000599	102.2399979
Gpscaff_1	2586285	2590965	-	GPALN_000603	119.3600006
Gpscaff_1	2616558	2621217	-	GPALN_000609	114.3649979
Gpscaff_1	2622093	2627416	+	GPALN_000610	110.7749977
Gpscaff_1	2627484	2628581	+	GPALN_000611	79.07500076
Gpscaff_1	2628870	2631596	+	GPALN_000612	84.69999695
Gpscaff_1	2632032	2633280	-	GPALN_000613	99.33499908
Gpscaff_1	2633697	2635792	+	GPALN_000614	139.0800018
Gpscaff_1	2637166	2641943	+	GPALN_000615	122.7600021
Gpscaff_1	2654902	2656256	-	GPALN_000618	112.6599998
Gpscaff_1	2658247	2660381	-	GPALN_000619	140.0399933
Gpscaff_1	2665629	2666633	-	GPALN_000621	87.41999817
Gpscaff_1	2667080	2669603	-	GPALN_000622	94.77999878
Gpscaff_1	2676326	2679264	-	GPALN_000624	133.5200043
Gpscaff_1	2679790	2682752	-	GPALN_000625	139.6699982
Gpscaff_1	2684359	2685915	+	GPALN_000626	101.8899994
Gpscaff_1	2686978	2688786	+	GPALN_000627	95.41000366
Gpscaff_1	2689051	2690188	-	GPALN_000628	55
Gpscaff_1	2695488	2697764	+	GPALN_000630	104.9000015
Gpscaff_1	2703681	2706040	-	GPALN_000632	92.09999847
Gpscaff_1	2706680	2709691	+	GPALN_000633	103.7649994
Gpscaff_1	2709922	2710701	-	GPALN_000634	80.79500198
Gpscaff_1	2721589	2725551	+	GPALN_000636	147.5399933
Gpscaff_1	2725878	2728283	-	GPALN_000637	94.40499878
Gpscaff_1	2728800	2733528	+	GPALN_000638	99.86000061
Gpscaff_1	2733599	2737918	+	GPALN_000639	73.83000183
Gpscaff_1	2738119	2743755	+	GPALN_000640	141.5650024
Gpscaff_1	2743673	2744633	-	GPALN_000641	102.3899994
Gpscaff_1	2744846	2746460	+	GPALN_000642	121.2300034
Gpscaff_1	2746932	2751223	-	GPALN_000643	102.0199966
Gpscaff_1	2751514	2754017	+	GPALN_000644	109.9599991
Gpscaff_1	2754602	2759087	-	GPALN_000645	110.0800018
Gpscaff_1	2760060	2762914	-	GPALN_000646	135.1800003
Gpscaff_1	2762993	2766099	+	GPALN_000647	104.1600037
Gpscaff_1	2770601	2773371	-	GPALN_000648	89.73000336
Gpscaff_1	2773581	2776887	+	GPALN_000649	112.7300034
Gpscaff_1	2776897	2778136	+	GPALN_000650	77.25
Gpscaff_1	2779038	2782871	-	GPALN_000651	106.795002
Gpscaff_1	2784765	2787466	-	GPALN_000652	134.9499969
Gpscaff_1	2787476	2791882	-	GPALN_000653	96.37000275
Gpscaff_1	2793912	2794679	+	GPALN_000654	118.1550026
Gpscaff_1	2794746	2796268	-	GPALN_000655	98.93000031
Gpscaff_1	2796576	2797406	+	GPALN_000656	141.8600006
Gpscaff_1	2797537	2801814	-	GPALN_000657	122.0999985
Gpscaff_1	2802161	2803356	+	GPALN_000658	86.69000244
Gpscaff_1	2810138	2817674	+	GPALN_000661	126.0750008
Gpscaff_1	2817000	2818978	-	GPALN_000662	116.8600006
Gpscaff_1	2820133	2820826	+	GPALN_000663	75.59000015
Gpscaff_1	2821044	2822263	+	GPALN_000664	149.4349976
Gpscaff_1	2822719	2826659	+	GPALN_000665	86.21500015
Gpscaff_1	2833619	2835399	-	GPALN_000667	79.86000061
Gpscaff_1	2835535	2836681	-	GPALN_000668	111.3099976
Gpscaff_1	2850022	2857016	-	GPALN_000671	167.1000061
Gpscaff_1	2857529	2859547	-	GPALN_000672	85.11000061
Gpscaff_1	2869418	2870217	+	GPALN_000674	103.5400009
Gpscaff_1	2873675	2877022	-	GPALN_000676	112.4199982
Gpscaff_1	2877028	2879840	+	GPALN_000677	105.5750008
Gpscaff_1	2880236	2882919	-	GPALN_000678	136.2700043
Gpscaff_1	2883632	2885346	-	GPALN_000679	91.43000031
Gpscaff_1	2886170	2888543	-	GPALN_000680	96.75
Gpscaff_1	2894158	2898291	+	GPALN_000684	120.2099991
Gpscaff_1	2901367	2907747	+	GPALN_000685	125.9599991
Gpscaff_1	2918176	2921635	-	GPALN_000687	105.3099976
Gpscaff_1	2922105	2928556	-	GPALN_000688	129.9600067
Gpscaff_1	2928532	2929405	+	GPALN_000689	82.31999969
Gpscaff_1	2933598	2947393	-	GPALN_000691	121.2799988
Gpscaff_1	2947369	2948706	+	GPALN_000692	62.93000031
Gpscaff_1	2948617	2951173	+	GPALN_000693	143.8099976
Gpscaff_1	2951590	2954751	+	GPALN_000694	151.9100037
Gpscaff_1	2955146	2956936	-	GPALN_000695	139.909996
Gpscaff_1	2961042	2966936	+	GPALN_000697	103.1200027
Gpscaff_1	2967018	2975126	+	GPALN_000698	148.8000031
Gpscaff_1	2978935	2985923	+	GPALN_000700	125.9049988
